ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-23,901.6987539477498,354.05045680207724,838.2981399815732,901.6987539477498,901.6987539477498,-299.3533860655086,-299.3533860655086,-299.3533860655086,-4.846181999978581,-4.846181999978581,-4.846181999978581,-294.50720406552995,-294.50720406552995,-294.50720406552995,0.0,0.0,0.0,602.3453678822411
2020-01-24,901.6882427635566,368.3155483589035,828.3271047473082,901.6882427635566,901.6882427635566,-311.0320082619027,-311.0320082619027,-311.0320082619027,-26.348946947689964,-26.348946947689964,-26.348946947689964,-284.68306131421275,-284.68306131421275,-284.68306131421275,0.0,0.0,0.0,590.6562345016539
2020-01-25,901.6777315793634,374.96118016915625,878.4489406640738,901.6777315793634,901.6777315793634,-268.35383341450574,-268.35383341450574,-268.35383341450574,5.516960428085465,5.516960428085465,5.516960428085465,-273.8707938425912,-273.8707938425912,-273.8707938425912,0.0,0.0,0.0,633.3238981648576
2020-01-26,901.6672203951701,396.0120770977012,899.6316256526194,901.6672203951701,901.6672203951701,-252.31407658835704,-252.31407658835704,-252.31407658835704,9.757778783411425,9.757778783411425,9.757778783411425,-262.07185537176844,-262.07185537176844,-262.07185537176844,0.0,0.0,0.0,649.3531438068131
2020-01-27,901.6567092109769,408.8823115897711,914.7844943118268,901.6567092109769,901.6567092109769,-233.99070353595363,-233.99070353595363,-233.99070353595363,15.325618498847161,15.325618498847161,15.325618498847161,-249.3163220348008,-249.3163220348008,-249.3163220348008,0.0,0.0,0.0,667.6660056750234
2020-02-01,901.604153290011,472.1040322194396,1002.51701375253,901.604153290011,901.604153290011,-168.58759040127362,-168.58759040127362,-168.58759040127362,5.516960428055938,5.516960428055938,5.516960428055938,-174.10455082932955,-174.10455082932955,-174.10455082932955,0.0,0.0,0.0,733.0165628887374
2020-02-02,901.5936421058177,498.8492008346549,988.8034689194465,901.5936421058177,901.5936421058177,-147.91885699853074,-147.91885699853074,-147.91885699853074,9.757778783443648,9.757778783443648,9.757778783443648,-157.6766357819744,-157.6766357819744,-157.6766357819744,0.0,0.0,0.0,753.674785107287
2020-02-03,901.5831309216246,538.3470070073419,1018.9705112085287,901.5831309216246,901.5831309216246,-125.84247961505264,-125.84247961505264,-125.84247961505264,15.325618498930618,15.325618498930618,15.325618498930618,-141.16809811398326,-141.16809811398326,-141.16809811398326,0.0,0.0,0.0,775.740651306572
2020-02-04,901.5726197374314,509.1931849039913,1001.3057182066578,901.5726197374314,901.5726197374314,-142.35675950375162,-142.35675950375162,-142.35675950375162,-17.59299713376078,-17.59299713376078,-17.59299713376078,-124.76376236999084,-124.76376236999084,-124.76376236999084,0.0,0.0,0.0,759.2158602336798
2020-02-05,901.5621085532382,555.7231063054924,1051.556200396615,901.5621085532382,901.5621085532382,-90.46406215871714,-90.46406215871714,-90.46406215871714,18.187768371020372,18.187768371020372,18.187768371020372,-108.65183052973751,-108.65183052973751,-108.65183052973751,0.0,0.0,0.0,811.098046394521
2020-02-06,901.551597369045,538.8957376456831,1043.39051376964,901.551597369045,901.551597369045,-97.86582931446512,-97.86582931446512,-97.86582931446512,-4.846181999952339,-4.846181999952339,-4.846181999952339,-93.01964731451278,-93.01964731451278,-93.01964731451278,0.0,0.0,0.0,803.6857680545799
2020-02-07,901.5410861848519,557.8581492049765,1053.098253516677,901.5410861848519,901.5410861848519,-104.39847715606331,-104.39847715606331,-104.39847715606331,-26.34894694763459,-26.34894694763459,-26.34894694763459,-78.04953020842872,-78.04953020842872,-78.04953020842872,0.0,0.0,0.0,797.1426090287886
2020-02-08,901.5305750006586,610.5957780769482,1098.4981969249209,901.5305750006586,901.5305750006586,-58.39780072729773,-58.39780072729773,-58.39780072729773,5.516960428171885,5.516960428171885,5.516960428171885,-63.91476115546961,-63.91476115546961,-63.91476115546961,0.0,0.0,0.0,843.1327742733608
2020-02-09,901.5200638164654,610.3118858103095,1120.9197752180598,901.5200638164654,901.5200638164654,-41.01805231210163,-41.01805231210163,-41.01805231210163,9.757778783393269,9.757778783393269,9.757778783393269,-50.77583109549491,-50.77583109549491,-50.77583109549491,0.0,0.0,0.0,860.5020115043637
2020-02-10,901.5095526322723,618.5094287405982,1124.142938399571,901.5095526322723,901.5095526322723,-23.451402093039995,-23.451402093039995,-23.451402093039995,15.325618498912569,15.325618498912569,15.325618498912569,-38.777020591952564,-38.777020591952564,-38.777020591952564,0.0,0.0,0.0,878.0581505392323
2020-02-11,901.4990414480791,597.7197195524583,1104.4911671665252,901.4990414480791,901.4990414480791,-45.636387161607736,-45.636387161607736,-45.636387161607736,-17.592997133788014,-17.592997133788014,-17.592997133788014,-28.043390027819722,-28.043390027819722,-28.043390027819722,0.0,0.0,0.0,855.8626542864713
2020-02-12,901.4885302638859,654.1875144329011,1149.2422002675953,901.4885302638859,901.4885302638859,-0.490473110936369,-0.490473110936369,-0.490473110936369,18.18776837108156,18.18776837108156,18.18776837108156,-18.67824148201793,-18.67824148201793,-18.67824148201793,0.0,0.0,0.0,900.9980571529495
2020-02-13,901.4780190796927,640.6025932081911,1147.335736747652,901.4780190796927,901.4780190796927,-15.607283769284063,-15.607283769284063,-15.607283769284063,-4.846182000042399,-4.846182000042399,-4.846182000042399,-10.761101769241664,-10.761101769241664,-10.761101769241664,0.0,0.0,0.0,885.8707353104086
2020-02-14,901.4675078954995,609.9910047927931,1118.462770518342,901.4675078954995,901.4675078954995,-30.695209520055645,-30.695209520055645,-30.695209520055645,-26.34894694765687,-26.34894694765687,-26.34894694765687,-4.346262572398777,-4.346262572398777,-4.346262572398777,0.0,0.0,0.0,870.7722983754438
2020-02-15,901.4569967113063,661.2421528726783,1159.003235098201,901.4569967113063,901.4569967113063,6.055060948432834,6.055060948432834,6.055060948432834,5.516960428142357,5.516960428142357,5.516960428142357,0.5381005202904765,0.5381005202904765,0.5381005202904765,0.0,0.0,0.0,907.5120576597391
2020-02-16,901.446485527113,669.8414821384649,1170.9807149175058,901.446485527113,901.446485527113,13.6480013594435,13.6480013594435,13.6480013594435,9.757778783425486,9.757778783425486,9.757778783425486,3.890222576018012,3.890222576018012,3.890222576018012,0.0,0.0,0.0,915.0944868865565
2020-02-17,901.4359743429198,657.6871955673249,1186.8597872227579,901.4359743429198,901.4359743429198,21.060082628052218,21.060082628052218,21.060082628052218,15.32561849889452,15.32561849889452,15.32561849889452,5.734464129157698,5.734464129157698,5.734464129157698,0.0,0.0,0.0,922.4960569709721
2020-02-18,901.4254631587268,654.042441177183,1131.3501970712057,901.4254631587268,901.4254631587268,-11.472530602878193,-11.472530602878193,-11.472530602878193,-17.592997133809597,-17.592997133809597,-17.592997133809597,6.120466530931402,6.120466530931402,6.120466530931402,0.0,0.0,0.0,889.9529325558485
2020-02-19,901.4149519745336,690.4983383839865,1163.936471956987,901.4149519745336,901.4149519745336,23.30954928621269,23.30954928621269,23.30954928621269,18.187768371001482,18.187768371001482,18.187768371001482,5.121780915211212,5.121780915211212,5.121780915211212,0.0,0.0,0.0,924.7245012607463
2020-02-20,901.4044407903402,645.7082166021753,1139.7726817996943,901.4044407903402,901.4044407903402,-2.012166495280044,-2.012166495280044,-2.012166495280044,-4.846181999865409,-4.846181999865409,-4.846181999865409,2.834015504585364,2.834015504585364,2.834015504585364,0.0,0.0,0.0,899.3922742950601
