ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,24.04457,5.225650970252685,17.51489150233469,24.04457,24.04457,-12.531092563935463,-12.531092563935463,-12.531092563935463,0.36678124822281,0.36678124822281,0.36678124822281,-12.897873812158272,-12.897873812158272,-12.897873812158272,0.0,0.0,0.0,11.513477436064537
2020-01-02,24.044216825740943,4.882204773214809,17.81137162381657,24.044216825740943,24.044216825740943,-12.496018551490549,-12.496018551490549,-12.496018551490549,-0.06047854999956889,-0.06047854999956889,-0.06047854999956889,-12.43554000149098,-12.43554000149098,-12.43554000149098,0.0,0.0,0.0,11.548198274250394
2020-01-03,24.04386365148189,5.017396584346913,17.864077845271822,24.04386365148189,24.04386365148189,-12.460094483188007,-12.460094483188007,-12.460094483188007,-0.4601149520229646,-0.4601149520229646,-0.4601149520229646,-11.999979531165044,-11.999979531165044,-11.999979531165044,0.0,0.0,0.0,11.583769168293882
2020-01-04,24.04351047722283,6.16324478246277,19.10389780492187,24.04351047722283,24.04351047722283,-11.533111257930479,-11.533111257930479,-11.533111257930479,0.06142651573398831,0.06142651573398831,0.06142651573398831,-11.594537773664468,-11.594537773664468,-11.594537773664468,0.0,0.0,0.0,12.510399219292353
2020-01-05,24.043157302963778,6.691365657868189,19.155667162925536,24.043157302963778,24.043157302963778,-10.94405152309665,-10.94405152309665,-10.94405152309665,0.277565918499201,0.277565918499201,0.277565918499201,-11.221617441595852,-11.221617441595852,-11.221617441595852,0.0,0.0,0.0,13.099105779867127
2020-01-06,24.04280412870472,7.25659510370164,19.512191565583578,24.04280412870472,24.04280412870472,-10.515897868024176,-10.515897868024176,-10.515897868024176,0.3667490234008618,0.3667490234008618,0.3667490234008618,-10.882646891425036,-10.882646891425036,-10.882646891425036,0.0,0.0,0.0,13.526906260680544
2020-01-07,24.042450954445666,6.760483082290813,19.48431010544646,24.042450954445666,24.042450954445666,-11.130001425804696,-11.130001425804696,-11.130001425804696,-0.5519292038358069,-0.5519292038358069,-0.5519292038358069,-10.578072221968888,-10.578072221968888,-10.578072221968888,0.0,0.0,0.0,12.91244952864097
2020-01-08,24.04209778018661,7.519435876127928,20.03672871264805,24.04209778018661,24.04209778018661,-9.940591875764236,-9.940591875764236,-9.940591875764236,0.36678124822413477,0.36678124822413477,0.36678124822413477,-10.307373123988372,-10.307373123988372,-10.307373123988372,0.0,0.0,0.0,14.101505904422373
2020-01-09,24.04174460592755,7.318191974143238,20.382197059469203,24.04174460592755,24.04174460592755,-10.129580407958416,-10.129580407958416,-10.129580407958416,-0.060478549999525934,-0.060478549999525934,-0.060478549999525934,-10.069101857958891,-10.069101857958891,-10.069101857958891,0.0,0.0,0.0,13.912164197969135
2020-01-10,24.041391431668497,7.9520693224057455,20.047097974569244,24.041391431668497,24.041391431668497,-10.321059129351553,-10.321059129351553,-10.321059129351553,-0.4601149520207219,-0.4601149520207219,-0.4601149520207219,-9.860944177330833,-9.860944177330833,-9.860944177330833,0.0,0.0,0.0,13.720332302316944
2020-01-11,24.04103825740944,8.020214792190755,20.795866351813203,24.04103825740944,24.04103825740944,-9.618373972526951,-9.618373972526951,-9.618373972526951,0.06142651573311261,0.06142651573311261,0.06142651573311261,-9.679800488260065,-9.679800488260065,-9.679800488260065,0.0,0.0,0.0,14.422664284882488
2020-01-12,24.040685083150386,9.0734915792036,21.37858438521781,24.040685083150386,24.040685083150386,-9.24431913823354,-9.24431913823354,-9.24431913823354,0.2775659184989717,0.2775659184989717,0.2775659184989717,-9.521885056732511,-9.521885056732511,-9.521885056732511,0.0,0.0,0.0,14.796365944916847
2020-01-13,24.04033190889133,9.321588927119526,21.52440750044462,24.04033190889133,24.04033190889133,-9.016091628604922,-9.016091628604922,-9.016091628604922,0.3667490234000195,0.3667490234000195,0.3667490234000195,-9.38284065200494,-9.38284065200494,-9.38284065200494,0.0,0.0,0.0,15.024240280286406
2020-01-14,24.039978734632275,7.94466514020131,20.313491722671614,24.039978734632275,24.039978734632275,-9.809794865185191,-9.809794865185191,-9.809794865185191,-0.5519292038360946,-0.5519292038360946,-0.5519292038360946,-9.257865661349097,-9.257865661349097,-9.257865661349097,0.0,0.0,0.0,14.230183869447083
2020-01-15,24.039625560373217,9.14185399566145,21.400314706976776,24.039625560373217,24.039625560373217,-8.775069185430473,-8.775069185430473,-8.775069185430473,0.36678124822255326,0.36678124822255326,0.36678124822255326,-9.141850433653024,-9.141850433653024,-9.141850433653024,0.0,0.0,0.0,15.264556374942744
2020-01-16,24.03927238611416,8.801786494768445,21.623482995903846,24.03927238611416,24.03927238611416,-9.089997964745473,-9.089997964745473,-9.089997964745473,-0.06047854999948295,-0.06047854999948295,-0.06047854999948295,-9.029519414745991,-9.029519414745991,-9.029519414745991,0.0,0.0,0.0,14.949274421368687
2020-01-17,24.038919211855106,8.441815929685488,20.841148294484523,24.038919211855106,24.038919211855106,-9.375690481633535,-9.375690481633535,-9.375690481633535,-0.46011495202557234,-0.46011495202557234,-0.46011495202557234,-8.915575529607963,-8.915575529607963,-8.915575529607963,0.0,0.0,0.0,14.66322873022157
2020-01-18,24.03856603759605,9.11633085830821,21.58104835446061,24.03856603759605,24.03856603759605,-8.73341673206444,-8.73341673206444,-8.73341673206444,0.06142651573601894,0.06142651573601894,0.06142651573601894,-8.79484324780046,-8.79484324780046,-8.79484324780046,0.0,0.0,0.0,15.305149305531609
2020-01-19,24.038212863336994,9.31577297840571,22.277404175551926,24.038212863336994,24.038212863336994,-8.384840919705548,-8.384840919705548,-8.384840919705548,0.27756591850003287,0.27756591850003287,0.27756591850003287,-8.66240683820558,-8.66240683820558,-8.66240683820558,0.0,0.0,0.0,15.653371943631447
2020-01-20,24.037859689077937,9.36588300236793,21.705016073460655,24.037859689077937,24.037859689077937,-8.14699145147793,-8.14699145147793,-8.14699145147793,0.36674902339961174,0.36674902339961174,0.36674902339961174,-8.513740474877542,-8.513740474877542,-8.513740474877542,0.0,0.0,0.0,15.890868237600007
2020-01-21,24.03750651481888,8.788840420989759,21.38201981225353,24.03750651481888,24.03750651481888,-8.896756296623797,-8.896756296623797,-8.896756296623797,-0.5519292038363821,-0.5519292038363821,-0.5519292038363821,-8.344827092787414,-8.344827092787414,-8.344827092787414,0.0,0.0,0.0,15.140750218195082
2020-01-22,24.037153340559826,10.008855639436533,22.42641753217559,24.037153340559826,24.037153340559826,-7.78548195545342,-7.78548195545342,-7.78548195545342,0.36678124822387803,0.36678124822387803,0.36678124822387803,-8.152263203677297,-8.152263203677297,-8.152263203677297,0.0,0.0,0.0,16.251671385106405
2020-01-23,24.036800166300768,10.129801013023027,22.718608084418694,24.036800166300768,24.036800166300768,-7.993825809564028,-7.993825809564028,-7.993825809564028,-0.060478549999439996,-0.060478549999439996,-0.060478549999439996,-7.933347259564589,-7.933347259564589,-7.933347259564589,0.0,0.0,0.0,16.04297435673674
2020-01-24,24.036446992041714,9.312628395762944,22.272129686169315,24.036446992041714,24.036446992041714,-8.146264536469374,-8.146264536469374,-8.146264536469374,-0.4601149520240722,-0.4601149520240722,-0.4601149520240722,-7.686149584445302,-7.686149584445302,-7.686149584445302,0.0,0.0,0.0,15.89018245557234
